ROUTE_KEY,SOURCE,DESTINATION
Lucknow -> Patna,Lucknow,Patna
Mumbai -> Ahmedabad,Mumbai,Ahmedabad
Mumbai -> Delhi,Mumbai,Delhi
Mumbai -> Goa,Mumbai,Goa
Mumbai -> Jaipur,Mumbai,Jaipur
Nagpur -> Hyderabad,Nagpur,Hyderabad
Nagpur -> Raipur,Nagpur,Raipur
Nashik -> Delhi,Nashik,Delhi
Nashik -> Jaipur,Nashik,Jaipur
Pune -> Hyderabad,Pune,Hyderabad
Pune -> Lucknow,Pune,Lucknow
Pune -> Nagpur,Pune,Nagpur
Surat -> Pune,Surat,Pune
Visakhapatnam -> Bhubaneswar,Visakhapatnam,Bhubaneswar
Ahmedabad -> Chandigarh,Ahmedabad,Chandigarh
Ahmedabad -> Delhi,Ahmedabad,Delhi
Bengaluru -> Chennai,Bengaluru,Chennai
Bengaluru -> Kochi,Bengaluru,Kochi
Chennai -> Coimbatore,Chennai,Coimbatore
Delhi -> Amritsar,Delhi,Amritsar
Hyderabad -> Bengaluru,Hyderabad,Bengaluru
Hyderabad -> Chennai,Hyderabad,Chennai
Hyderabad -> Kolkata,Hyderabad,Kolkata
Indore -> Bhopal,Indore,Bhopal
Indore -> Delhi,Indore,Delhi
Kochi -> Bengaluru,Kochi,Bengaluru
Kochi -> Mumbai,Kochi,Mumbai
Kolkata -> Guwahati,Kolkata,Guwahati
