READING_ID,TIMESTAMP,CONTAINER_ID,COMMODITY,CATEGORY,PRICE_PER_KG,SHELF_LIFE_DAYS,OPTIMAL_TEMP_MIN,OPTIMAL_TEMP_MAX,RISK_LEVEL,ROUTE_KEY,SOURCE,DESTINATION,TEMPERATURE,HUMIDITY,VIBRATION,BATTERY_LEVEL,SPEED,LATITUDE,LONGITUDE
R000362,2026-08-06 17:45:51.000 -0700,A104,Grapes,Fruits,120,21,0,2,Medium,Chennai -> Coimbatore,Chennai,Coimbatore,1.87,95,0.73,85,74.3,20.232209,73.614117
R000443,2026-08-06 17:52:37.000 -0700,A104,Frozen Prawns,Frozen Foods,650,180,-20,-18,Critical,Mumbai -> Ahmedabad,Mumbai,Ahmedabad,-19.97,45,0.32,41,31.1,9.512934,76.498934
R000494,2026-08-06 17:56:53.000 -0700,A113,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Chennai -> Coimbatore,Chennai,Coimbatore,0.1,90,0.51,68,54.2,12.829329,77.792022
R000326,2026-08-06 17:42:50.000 -0700,A114,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Nashik -> Delhi,Nashik,Delhi,2,100,0.7,56,63,13.477879,77.348171
R000329,2026-08-06 17:43:05.000 -0700,A115,Lettuce,Exotic Fruits & Vegetables,90,7,0,2,High,Mumbai -> Ahmedabad,Mumbai,Ahmedabad,1,95,0.41,81,76.1,12.54803,77.57489
R000333,2026-08-06 17:43:25.000 -0700,A103,Blood Plasma,Pharmaceuticals,8000,365,-30,-20,Critical,Kochi -> Bengaluru,Kochi,Bengaluru,-25,41,0.37,75,37.4,17.605561,78.102601
R000337,2026-08-06 17:43:45.000 -0700,A106,Medicines,Pharmaceuticals,1200,730,15,25,High,Indore -> Bhopal,Indore,Bhopal,20,60,0.48,87,72,17.382156,78.419558
R000338,2026-08-06 17:43:50.000 -0700,A109,Avocados,Exotic Fruits & Vegetables,280,21,4,8,High,Mumbai -> Delhi,Mumbai,Delhi,6,75,0.31,64,34,12.670656,77.111932
R000340,2026-08-06 17:44:00.000 -0700,A105,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Pune -> Nagpur,Pune,Nagpur,0.5,94,0.23,72,88.3,12.552864,77.147357
R000343,2026-08-06 17:44:15.000 -0700,A111,Asparagus,Exotic Fruits & Vegetables,450,10,2,4,High,Mumbai -> Jaipur,Mumbai,Jaipur,3,96,0.39,71,33,13.048616,77.114788
R000345,2026-08-06 17:44:25.000 -0700,A105,Broccoli,Exotic Fruits & Vegetables,180,14,0,4,High,Indore -> Bhopal,Indore,Bhopal,2,97,0.23,58,64.2,13.393841,77.853537
R000349,2026-08-06 17:44:45.000 -0700,A112,Kiwi,Exotic Fruits & Vegetables,320,45,0,1,High,Visakhapatnam -> Bhubaneswar,Visakhapatnam,Bhubaneswar,0.5,93,0.68,63,76.2,13.492954,77.307845
