TIMESTAMP,CONTAINER_ID,COMMODITY,SOURCE,DESTINATION,TEMPERATURE,HUMIDITY,VIBRATION,BATTERY_LEVEL,SPEED,INGESTED_AT,LATITUDE,LONGITUDE,READING_ID,CATEGORY
2026-07-30 00:10:10.000 -0700,A106,Frozen Peas,Lucknow,Patna,-19.22,45,0.98,77,63.2,2026-07-29 11:40:11.840 -0700,30.078252,76.974816,R000001,Frozen Foods
2026-07-30 00:10:10.000 -0700,A107,Frozen Meat,Lucknow,Patna,-19.96,51,0.29,100,34.1,2026-07-29 11:40:12.807 -0700,19.182838,73.41064,R000002,Frozen Foods
2026-07-30 00:10:10.000 -0700,A115,Apple,Ahmedabad,Delhi,5.19,93,0.46,54,52.3,2026-07-29 11:40:13.324 -0700,34.760984,74.626313,R000003,Fruits
2026-07-30 00:10:10.000 -0700,A103,Tomato,Indore,Bhopal,9.49,85,0.74,54,47.6,2026-07-29 11:40:13.738 -0700,23.160898,75.625454,R000004,Vegetables
2026-07-30 00:10:10.000 -0700,A109,Ice Cream,Indore,Bhopal,-23.47,44,0.85,41,43.3,2026-07-29 11:40:14.147 -0700,19.983588,73.455265,R000005,Frozen Foods
2026-07-30 00:10:10.000 -0700,A108,Frozen French Fries,Mumbai,Ahmedabad,-18.6,48,0.25,42,49.5,2026-07-29 11:40:14.576 -0700,19.791609,73.390624,R000006,Frozen Foods
2026-07-30 00:10:11.000 -0700,A115,Carrot,Nashik,Jaipur,1.87,95,0.48,92,64.4,2026-07-29 11:40:15.801 -0700,30.951754,76.706636,R000009,Vegetables
2026-07-30 00:10:11.000 -0700,A114,Cabbage,Chennai,Coimbatore,1.47,95,0.37,41,60,2026-07-29 11:40:16.234 -0700,30.607794,76.433652,R000010,Vegetables
2026-07-30 00:10:11.000 -0700,A107,Cabbage,Hyderabad,Bengaluru,0.24,96,0.39,62,31.3,2026-07-29 11:40:16.719 -0700,30.189879,76.081162,R000011,Vegetables
2026-07-30 00:10:11.000 -0700,A102,Orange,Kochi,Bengaluru,6.74,86,0.19,50,58.9,2026-07-29 11:40:17.142 -0700,21.912648,79.342122,R000012,Fruits
