READING_ID,TIMESTAMP,CONTAINER_ID,COMMODITY,CATEGORY,SOURCE,DESTINATION,TEMPERATURE,HUMIDITY,VIBRATION,BATTERY_LEVEL,SPEED,LATITUDE,LONGITUDE,INGESTED_AT
R000326,2026-08-06 17:42:50.000 -0700,A114,Broccoli,Exotic Fruits & Vegetables,Nashik,Delhi,4.83,100,0.7,56,63,13.477879,77.348171,2026-08-06 05:12:50.499 -0700
R000327,2026-08-06 17:42:55.000 -0700,A105,Cabbage,Vegetables,Bengaluru,Kochi,1.75,99,0.37,55,49.6,30.755781,76.247992,2026-08-06 05:12:56.003 -0700
R000328,2026-08-06 17:43:00.000 -0700,A106,Capsicum,Vegetables,Pune,Lucknow,8.06,91,0.61,61,42.8,13.42307,77.440862,2026-08-06 05:13:00.531 -0700
R000329,2026-08-06 17:43:05.000 -0700,A115,Lettuce,Exotic Fruits & Vegetables,Mumbai,Ahmedabad,,95,0.41,81,76.1,12.54803,77.57489,2026-08-06 05:13:05.546 -0700
R000330,2026-08-06 17:43:10.000 -0700,A101,Carrot,Vegetables,Mumbai,Ahmedabad,4.71,96,0.34,60,33.3,30.450764,76.81057,2026-08-06 05:13:10.549 -0700
R000331,2026-08-06 17:43:15.000 -0700,A102,Cabbage,Vegetables,Kolkata,Guwahati,7.99,97,0.29,55,68.2,30.645531,76.638109,2026-08-06 05:13:15.559 -0700
R000332,2026-08-06 17:43:20.000 -0700,A103,Pineapple,Fruits,Ahmedabad,Delhi,12.06,90,0.71,84,44.2,11.171289,76.063002,2026-08-06 05:13:20.568 -0700
R000333,2026-08-06 17:43:25.000 -0700,A103,Blood Plasma,Pharmaceuticals,Kochi,Bengaluru,-23.23,41,0.37,75,37.4,17.605561,78.102601,2026-08-06 05:13:25.576 -0700
R000334,2026-08-06 17:43:30.000 -0700,A115,Frozen Corn,Frozen Foods,Ahmedabad,Delhi,-19.88,54,0.26,53,66.9,23.023542,75.537528,2026-08-06 05:13:30.584 -0700
R000335,2026-08-06 17:43:35.000 -0700,A109,Carrot,Vegetables,Mumbai,Jaipur,0.8,95,0.44,93,38.2,30.877419,76.531366,2026-08-06 05:13:35.596 -0700
R000336,2026-08-06 17:43:40.000 -0700,A112,Potato,Vegetables,Chennai,Coimbatore,4.4,94,0.68,64,30.2,22.463381,75.348141,2026-08-06 05:13:40.643 -0700
R000337,2026-08-06 17:43:45.000 -0700,A106,Medicines,Pharmaceuticals,Indore,Bhopal,15.52,60,0.48,87,72,17.382156,78.419558,2026-08-06 05:13:45.661 -0700
R000338,2026-08-06 17:43:50.000 -0700,A109,Avocados,Exotic Fruits & Vegetables,Mumbai,Delhi,5.14,75,0.31,64,34,12.670656,77.111932,2026-08-06 05:13:50.701 -0700
R000339,2026-08-06 17:43:55.000 -0700,A105,Apple,Fruits,Nagpur,Hyderabad,3.26,94,0.15,86,60.9,34.56587,74.616438,2026-08-06 05:13:55.697 -0700
R000340,2026-08-06 17:44:00.000 -0700,A105,Kiwi,Exotic Fruits & Vegetables,Pune,Nagpur,0.01,94,0.23,72,88.3,12.552864,77.147357,2026-08-06 05:14:00.736 -0700
R000341,2026-08-06 17:44:05.000 -0700,A104,Potato,Vegetables,Lucknow,Patna,6.4,92,0.45,76,87,22.870704,75.631081,2026-08-06 05:14:05.764 -0700
R000342,2026-08-06 17:44:10.000 -0700,A104,Potato,Vegetables,Surat,Pune,5.87,90,0.71,57,88,22.753851,75.929641,2026-08-06 05:14:10.781 -0700
R000343,2026-08-06 17:44:15.000 -0700,A111,Asparagus,Exotic Fruits & Vegetables,Mumbai,Jaipur,2.12,96,0.39,71,33,13.048616,77.114788,2026-08-06 05:14:15.815 -0700
R000344,2026-08-06 17:44:20.000 -0700,A103,Frozen Peas,Frozen Foods,Hyderabad,Chennai,,40,0.43,94,81.2,30.282642,76.907634,2026-08-06 05:14:20.826 -0700
R000345,2026-08-06 17:44:25.000 -0700,A105,Broccoli,Exotic Fruits & Vegetables,Indore,Bhopal,3,97,0.23,58,64.2,13.393841,77.853537,2026-08-06 05:14:25.811 -0700
